	test_statistic	p	-log2(p)	FDR_corrected_p
CAMTA1_mutation_status	0.00034240272738657497	0.9852366850154602	0.021457747699556686	0.9999976776816369
CAMTA2_mutation_status	0.0003606449266889751	0.9848485613601632	0.022026194248784083	0.9999976776816369
CARD11_mutation_status	0.00027453546094941114	0.9867803665054681	0.019199083573384443	0.9999976776816369
CASC3_mutation_status	9.810115864795205e-06	0.9975009415160154	0.0036098918282231923	0.9999976776816369
CASZ1_mutation_status	0.00025908492585057186	0.9871577127032297	0.018647500420321532	0.9999976776816369
CCDC108_mutation_status	3.0058696852872093e-06	0.9986166727945004	0.0019971009400228273	0.9999976776816369
CCDC178_mutation_status	7.734593946899187e-05	0.9929829717901588	0.010159117037572003	0.9999976776816369
CCDC180_mutation_status	0.0002096548058740872	0.9884474648809143	0.01676380487611151	0.9999976776816369
CCDC40_mutation_status	0.00021430418848557278	0.9883200796955626	0.01694974274821817	0.9999976776816369
CD163L1_mutation_status	0.00016689580112892732	0.9896925630582881	0.014947657204292917	0.9999976776816369
CDH10_mutation_status	8.715074709889113e-07	0.9992551384513741	0.0010750084783127845	0.9999976776816369
CDH11_mutation_status	6.492528353188122e-05	0.9935710168203922	0.00930500516487182	0.9999976776816369
CDH12_mutation_status	1.259957117849151e-05	0.9971678449110166	0.0040917330520953464	0.9999976776816369
CDH18_mutation_status	0.002497665870470734	0.9601409930718261	0.058681819189196335	0.9999976776816369
CDH1_mutation_status	1.93181948196016e-05	0.9964931116933919	0.00506826248748563	0.9999976776816369
CDH20_mutation_status	2.8892567752689264e-05	0.9957112469456603	0.006200668856561688	0.9999976776816369
CDH23_mutation_status	0.0014672720376086165	0.9694445145662396	0.04476976576709846	0.9999976776816369
CDH2_mutation_status	9.463870707190016e-05	0.9922381077326387	0.011241728685647486	0.9999976776816369
CDH4_mutation_status	2.958000754789247e-06	0.9986277318372783	0.0019811241009982414	0.9999976776816369
CDH6_mutation_status	0.00021341007677572933	0.988344468683423	0.016914141490666272	0.9999976776816369
CDH8_mutation_status	7.208896649423347e-05	0.9932256248510242	0.009806611897980303	0.9999976776816369
CDH9_mutation_status	0.0004665811402196731	0.9827666431777022	0.02507920395448166	0.9999976776816369
CDHR2_mutation_status	0.0031832349172541425	0.955007093909001	0.06641664518470887	0.9999976776816369
CELSR1_mutation_status	0.000267756553088059	0.9869445833854728	0.018959014784698587	0.9999976776816369
CELSR2_mutation_status	0.0006965883801735482	0.978943908657815	0.030701895956767533	0.9999976776816369
CELSR3_mutation_status	0.00041978014450987387	0.9836536563830969	0.023777661614112287	0.9999976776816369
CENPF_mutation_status	3.9721570034817324e-05	0.9949713618089457	0.007273093623848327	0.9999976776816369
CFH_mutation_status	2.426712863994439e-05	0.9960695027102929	0.00568168219533556	0.9999976776816369
CHD3_mutation_status	0.0022653723645750068	0.9620382773187313	0.05583379819006107	0.9999976776816369
CHD4_mutation_status	0.00011024658447253137	0.9916224958159966	0.012137094303745872	0.9999976776816369
CHD5_mutation_status	3.0643385705903193e-06	0.9986032836613644	0.0020164442636411662	0.9999976776816369
CHD6_mutation_status	9.313256590534853e-06	0.9975650493055099	0.003517175105625135	0.9999976776816369
CHD7_mutation_status	0.00033837340791492986	0.9853237979396939	0.021330192737444912	0.9999976776816369
CHD9_mutation_status	8.88108037645595e-06	0.997622216445894	0.0034345014124112813	0.9999976776816369
CHL1_mutation_status	0.00041894874737564454	0.9836698495493449	0.02375391178285944	0.9999976776816369
CIC_mutation_status	1.3589685496258029e-05	0.9970586698082192	0.00424969542837423	0.9999976776816369
CILP2_mutation_status	9.693967742975131e-05	0.9921443191730697	0.011378101884732941	0.9999976776816369
CIT_mutation_status	0.0013665792668905651	0.9705111003242625	0.04318338087559256	0.9999976776816369
CLUH_mutation_status	3.643066743522122e-05	0.9951841717666647	0.006964555053225593	0.9999976776816369
CMYA5_mutation_status	1.0711249034321412e-06	0.9991742282102579	0.0011918290231132116	0.9999976776816369
CNOT1_mutation_status	4.823621955494543e-07	0.9994458508668647	0.0007996898004619425	0.9999976776816369
CNTLN_mutation_status	0.0002399512115866673	0.9876409762419078	0.01794140118244606	0.9999976776816369
CNTN1_mutation_status	0.00024409191284641328	0.9875348046440684	0.01809649951781045	0.9999976776816369
CNTN3_mutation_status	9.300580508782678e-05	0.9923053590792181	0.01114394984042388	0.9999976776816369
CNTN5_mutation_status	0.000537787316620887	0.9814985223990406	0.02694199910542306	0.9999976776816369
CNTN6_mutation_status	2.1748668355523754e-06	0.9988233257774418	0.001698581600316619	0.9999976776816369
CNTNAP2_mutation_status	0.0018345290016252523	0.965835931734479	0.050149958182691745	0.9999976776816369
CNTNAP4_mutation_status	0.00010132171522708225	0.9919687342963075	0.011633445632588654	0.9999976776816369
CNTNAP5_mutation_status	0.00011025253319311221	0.9916222698093219	0.012137423117127316	0.9999976776816369
COL11A1_mutation_status	0.0016514961362138203	0.9675840080109829	0.0475411698790619	0.9999976776816369
COL11A2_mutation_status	2.0636370352672233e-05	0.9963754405748293	0.00523863352295634	0.9999976776816369
COL12A1_mutation_status	3.872722080779688e-06	0.9984298254024337	0.0022670634140739207	0.9999976776816369
COL14A1_mutation_status	5.15805210991637e-05	0.994269675836284	0.008290887743162296	0.9999976776816369
COL15A1_mutation_status	2.573959452228721e-05	0.9959520135605564	0.005851862098007501	0.9999976776816369
COL17A1_mutation_status	5.0728408715748027e-05	0.9943172047433265	0.008221924481690731	0.9999976776816369
COL1A2_mutation_status	0.0017290528043784608	0.9668320178368531	0.04866284436393772	0.9999976776816369
COL22A1_mutation_status	0.0008779325326957504	0.9763621980486055	0.03451165571212126	0.9999976776816369
COL24A1_mutation_status	0.0010356494853355617	0.9743273026698541	0.0375216012062229	0.9999976776816369
COL27A1_mutation_status	0.00020473226921417754	0.9885838834823322	0.016564707941987646	0.9999976776816369
COL4A1_mutation_status	0.0003040004095397188	0.986089102776071	0.020210080814395816	0.9999976776816369
COL4A4_mutation_status	7.627019520954075e-05	0.9930319385838899	0.010087975426167758	0.9999976776816369
COL5A1_mutation_status	0.0005643453295505759	0.9810472740910533	0.027605437083563108	0.9999976776816369
COL5A2_mutation_status	0.0003096950359075576	0.9859594290791316	0.020399812047431787	0.9999976776816369
COL6A2_mutation_status	0.0006660293059114488	0.9794108449431168	0.030013923897830783	0.9999976776816369
COL6A3_mutation_status	0.000325006158617341	0.9856165743563594	0.020901577956950797	0.9999976776816369
COL6A6_mutation_status	2.2348184212085093e-05	0.9962281052557453	0.005451982470389819	0.9999976776816369
COL7A1_mutation_status	6.147966789425473e-05	0.9937439333360479	0.009053947022090496	0.9999976776816369
CPAMD8_mutation_status	6.588845920633476e-05	0.9935235059896885	0.009373993971464465	0.9999976776816369
CPS1_mutation_status	3.820731047113381e-05	0.9950681423866058	0.007132769917449302	0.9999976776816369
CPXM2_mutation_status	2.9799644449821076e-06	0.9986226465950255	0.0019884706548995226	0.9999976776816369
CR1_mutation_status	4.973378335479237e-06	0.9982206333331731	0.0025693700704037536	0.9999976776816369
CRB1_mutation_status	0.0017206074982577143	0.9669130725135827	0.04854190062547845	0.9999976776816369
CREBBP_mutation_status	0.0006038431671139116	0.9803953797707483	0.028564409537704973	0.9999976776816369
CSMD1_mutation_status	0.00027840963027057436	0.9866874259447876	0.01933497115827758	0.9999976776816369
CSMD2_mutation_status	0.00021813896591134276	0.9882160498316824	0.0171016077878911	0.9999976776816369
CSMD3_mutation_status	0.0010576767026600014	0.974055818205423	0.03792364666520023	0.9999976776816369
CSPG4_mutation_status	0.0001380184032948776	0.9906265693431887	0.013586779239470617	0.9999976776816369
CTNNA2_mutation_status	0.0001619308097079831	0.9898470304328132	0.014722504531023322	0.9999976776816369
CTNNA3_mutation_status	0.0005458129580139098	0.981361005652334	0.027144147782903135	0.9999976776816369
CTNNB1_mutation_status	0.0003542513904691629	0.9849834487615008	0.021828612542026962	0.9999976776816369
CTNND1_mutation_status	0.00010987937395450734	0.9916364588821993	0.012116779814486792	0.9999976776816369
CTNND2_mutation_status	0.0010710200017443228	0.9738927375663552	0.038165209132649015	0.9999976776816369
CTTNBP2_mutation_status	7.167947368766036e-05	0.9932448923077055	0.009778625513117813	0.9999976776816369
CUBN_mutation_status	1.3945290226672457e-06	0.9990577769179807	0.0013599813714216028	0.9999976776816369
CUL7_mutation_status	0.0012558946956770112	0.9717300020174149	0.04137258235342724	0.9999976776816369
CUL9_mutation_status	0.0006399115341741951	0.979818487360886	0.02941358202527799	0.9999976776816369
CUX1_mutation_status	9.656361512669289e-08	0.9997520598767803	0.0003577463378749385	0.9999976776816369
CUX2_mutation_status	0.00013989620367345403	0.9905630229210232	0.013679327785570277	0.9999976776816369
DCAF12L1_mutation_status	1.4974103065347134e-06	0.99902363913809	0.0014092790680662905	0.9999976776816369
DCAF12L2_mutation_status	0.0005147443001414583	0.9818991663363741	0.02635321667699091	0.9999976776816369
DCC_mutation_status	0.00038960631474917927	0.984252019975738	0.022900326663839	0.9999976776816369
DCDC1_mutation_status	1.2476036285870927e-08	0.9999108793438796	0.00012857965826258198	0.9999976776816369
DCHS1_mutation_status	0.00046136590944997343	0.9828632122281532	0.024937448180964182	0.9999976776816369
DCHS2_mutation_status	0.0009783015382935712	0.9750479850196687	0.03645487495184935	0.9999976776816369
DCLK1_mutation_status	9.034251340594896e-06	0.9976017994845751	0.0034640273690063287	0.9999976776816369
DCSTAMP_mutation_status	0.0003446840389111499	0.9851875908518878	0.02152963872039387	0.9999976776816369
DENND3_mutation_status	0.00010988962007499007	0.9916360689604584	0.012117347097252045	0.9999976776816369
DHX30_mutation_status	1.5597024508210274e-05	0.9968489172385799	0.004553229047599556	0.9999976776816369
DHX36_mutation_status	9.666416802114768e-05	0.9921554899556276	0.011361858338747342	0.9999976776816369
DIDO1_mutation_status	0.0005829204793254766	0.9807379490798123	0.028060391742378725	0.9999976776816369
DIP2C_mutation_status	6.299455233651513e-05	0.9936673279353071	0.00916516530283844	0.9999976776816369
DISP1_mutation_status	0.00012000045948744293	0.991259770627143	0.012664913676441498	0.9999976776816369
DLC1_mutation_status	0.00031733400898000257	0.9857873388573943	0.020651643280684976	0.9999976776816369
DLG2_mutation_status	2.081025975754813e-05	0.9963602018008475	0.005260698570808833	0.9999976776816369
DLGAP2_mutation_status	8.981749752764816e-05	0.9924383941548649	0.010950545483942519	0.9999976776816369
DLGAP4_mutation_status	6.027332638409161e-07	0.9993805552194643	0.0008939468169219474	0.9999976776816369
DMBT1_mutation_status	0.0002142577563280133	0.9883213449870789	0.016947895746760946	0.9999976776816369
DMD_mutation_status	0.0027475430706212977	0.9581964197153459	0.061606672012516066	0.9999976776816369
DMXL1_mutation_status	0.0015251703642403965	0.9688477904074398	0.04565806420347762	0.9999976776816369
DMXL2_mutation_status	1.2056709836808745e-05	0.9972295290969502	0.004002491589650832	0.9999976776816369
DNAH10_mutation_status	0.002553082408774823	0.9597016085406829	0.05934218363225944	0.9999976776816369
DNAH11_mutation_status	0.004783997546969334	0.9448571296385662	0.08183189671191869	0.9999976776816369
DNAH17_mutation_status	7.490982074741774e-05	0.9930943586641191	0.009997293237071391	0.9999976776816369
DNAH1_mutation_status	0.0016441925486832363	0.9676557264211554	0.047434239669948516	0.9999976776816369
DNAH2_mutation_status	1.3465663271130556e-08	0.9999074121636068	0.0001335821965498343	0.9999976776816369
DNAH3_mutation_status	3.57095745119632e-06	0.9984922402665828	0.00217687900821957	0.9999976776816369
DNAH5_mutation_status	0.0006331391899507678	0.9799255417680975	0.029255962601263983	0.9999976776816369
DNAH7_mutation_status	0.0008392358322313071	0.9768888621422965	0.033733654655235416	0.9999976776816369
DNAH8_mutation_status	0.0014259235425586906	0.9698779185005568	0.044124932595997556	0.9999976776816369
DNAH9_mutation_status	0.0017626885280997223	0.9665111466350792	0.04914172395895276	0.9999976776816369
DOCK10_mutation_status	0.0008412990989123929	0.9768604780979468	0.03377557356385192	0.9999976776816369
DOCK2_mutation_status	0.0018393701221383074	0.9657909114173706	0.050217207805437016	0.9999976776816369
DOCK3_mutation_status	0.00030360806475346276	0.9860980815097635	0.020196944561736842	0.9999976776816369
DOCK4_mutation_status	2.737128404588251e-06	0.9986799589127432	0.0019056747917711148	0.9999976776816369
DOCK5_mutation_status	0.0013362773877181086	0.9708397222147466	0.04269495686613175	0.9999976776816369
DOPEY1_mutation_status	2.165756211254752e-06	0.9988257929352715	0.0016950180552148708	0.9999976776816369
DOPEY2_mutation_status	7.81986437279681e-06	0.9977687968939412	0.0032225420676457103	0.9999976776816369
DOT1L_mutation_status	2.0714553051254505e-07	0.9996368568720515	0.0005239999390721568	0.9999976776816369
DPP6_mutation_status	5.8999842471582895e-05	0.9938714008446503	0.008868904433995321	0.9999976776816369
DPYD_mutation_status	0.0008056466062538483	0.9773559533477119	0.03304400699882472	0.9999976776816369
DSCAML1_mutation_status	1.2780782845142406e-06	0.9990979747454093	0.0013019346388330314	0.9999976776816369
DSCAM_mutation_status	0.00012060944861224464	0.9912376217317964	0.012697149886791293	0.9999976776816369
DSEL_mutation_status	0.00036077716706077993	0.9848457841030971	0.02203026263127781	0.9999976776816369
DSP_mutation_status	0.0002495264474318546	0.9873968155524494	0.018298102627977514	0.9999976776816369
DST_mutation_status	1.6803127816817008e-05	0.9967293512125959	0.004726282010387771	0.9999976776816369
DUOX1_mutation_status	0.0003241911860656349	0.9856346173783337	0.020875167747602733	0.9999976776816369
DUOX2_mutation_status	8.441049538522773e-07	0.9992669421902907	0.0010579666895190012	0.9999976776816369
DYNC1H1_mutation_status	2.9145259364764898e-05	0.9956925334446398	0.006227783272419006	0.9999976776816369
DYNC2H1_mutation_status	9.719519481158857e-07	0.9992133847017174	0.0011352925677334668	0.9999976776816369
DYSF_mutation_status	7.870586521089402e-07	0.9992921462237921	0.0010215787394646783	0.9999976776816369
EBF3_mutation_status	1.9309598801549967e-09	0.9999649388072285	5.0583495703158297e-05	0.9999976776816369
EDNRB_mutation_status	0.0006282097702722409	0.9800038247052001	0.02914071517741692	0.9999976776816369
EIF4G1_mutation_status	0.0009627129426451597	0.9752475160425037	0.036159676180181045	0.9999976776816369
EIF5B_mutation_status	4.812272104826969e-06	0.9982496906965684	0.002527375041907591	0.9999976776816369
ELFN2_mutation_status	0.000684320540055274	0.9791301023696499	0.03042752354387019	0.9999976776816369
ELMO1_mutation_status	2.8640662807895476e-05	0.9957299838211132	0.00617352108350075	0.9999976776816369
ELMSAN1_mutation_status	4.332179748822863e-06	0.9983392931315527	0.0023978852072574297	0.9999976776816369
EP300_mutation_status	2.9186684949778224e-06	0.9986368858209299	0.001967899607156076	0.9999976776816369
EP400_mutation_status	0.0010791166453258023	0.9737942765358124	0.03831107367821244	0.9999976776816369
EPB41L3_mutation_status	0.00015055997964585574	0.9902099719216668	0.014193616836029141	0.9999976776816369
EPG5_mutation_status	0.001157779313085945	0.9728562930566066	0.03970138402949173	0.9999976776816369
EPHA2_mutation_status	0.0006142569371477516	0.9802270878479747	0.02881207978224549	0.9999976776816369
EPHA3_mutation_status	8.578431643047011e-05	0.9926101129634842	0.010700941634613855	0.9999976776816369
EPHA4_mutation_status	5.105686666660562e-06	0.9981971202059741	0.002603353210402692	0.9999976776816369
EPHA5_mutation_status	0.00030614335948244217	0.9860401637385193	0.020281682720006116	0.9999976776816369
EPHA6_mutation_status	0.0002424364947824063	0.9875771422656148	0.018034649578871128	0.9999976776816369
EPHB1_mutation_status	2.3784768713327277e-05	0.9961087618941703	0.005624820787997789	0.9999976776816369
EPPK1_mutation_status	6.0072315779604976e-05	0.9938159513082774	0.008949396741881594	0.9999976776816369
ERBB2_mutation_status	0.0002619009244861396	0.9870881158569244	0.018749217261877258	0.9999976776816369
ERBB3_mutation_status	0.00039869225490752827	0.9840694744501648	0.02316792271050286	0.9999976776816369
ERBB4_mutation_status	0.00029265335713252633	0.986351163412279	0.01982672463476889	0.9999976776816369
ERC2_mutation_status	0.000281736514758799	0.986608129592769	0.019450919783974754	0.9999976776816369
ESPL1_mutation_status	2.0822617403813695e-06	0.9988486494560372	0.0016620046787983894	0.9999976776816369
EVC2_mutation_status	0.00019625759984636776	0.9888226436335342	0.01621631414126779	0.9999976776816369
EVC_mutation_status	7.899530759133585e-05	0.9929085508859399	0.010267246477956257	0.9999976776816369
EVPL_mutation_status	2.2162990206667356e-05	0.9962437660422424	0.0054293033657643874	0.9999976776816369
F5_mutation_status	0.0018375885864338457	0.9658074720151754	0.05019246985521654	0.9999976776816369
F8_mutation_status	0.00043104821166595924	0.9834357496448654	0.024097294235736366	0.9999976776816369
FAM135B_mutation_status	0.00011105540629794548	0.9915918224128432	0.012181721216947768	0.9999976776816369
FAM179B_mutation_status	7.72474394092202e-05	0.9929874411914511	0.010152623503692563	0.9999976776816369
FAM47C_mutation_status	2.0021408038836952e-06	0.9988710174615291	0.001629697632786501	0.9999976776816369
FANCM_mutation_status	8.110792067773032e-05	0.992814353889487	0.010404121103740437	0.9999976776816369
FASN_mutation_status	6.837017759154407e-05	0.9934026660721798	0.009549476233863145	0.9999976776816369
FAT1_mutation_status	0.0005938619177548147	0.9805580502533813	0.02832505260496126	0.9999976776816369
FAT2_mutation_status	0.00022679677852753533	0.9879844933991928	0.017439696267333975	0.9999976776816369
FAT3_mutation_status	0.0035722544988506747	0.9523401412842333	0.07045115108121268	0.9999976776816369
FAT4_mutation_status	0.00010362173707402926	0.9918780933172819	0.01176527767648671	0.9999976776816369
FBN1_mutation_status	0.0001774851087562195	0.9893706140770172	0.01541704515326017	0.9999976776816369
FBN2_mutation_status	0.0010670898037192817	0.9739406659226787	0.03809421127228172	0.9999976776816369
FBN3_mutation_status	0.0004185812835802269	0.983677011783292	0.023743407362311782	0.9999976776816369
FBXL7_mutation_status	0.0005732660096592947	0.9808980957069876	0.027824830465893957	0.9999976776816369
