	test_statistic	p	-log2(p)	FDR_corrected_p
RXFP3_mutation_status	0.04550441040027687	0.8310792248456901	0.26694208258010366	0.999934250474592
RYR1_mutation_status	2.958225614371674	0.08544165687772963	3.54891656585194	0.9895863995147577
RYR2_mutation_status	0.1820625004571693	0.6696067191489943	0.5786140902453759	0.999934250474592
RYR3_mutation_status	0.043452031135080144	0.8348764420262567	0.26036539390655405	0.999934250474592
SACS_mutation_status	3.441037381895812e-05	0.9953196075932187	0.0067682302859423575	0.999934250474592
SALL1_mutation_status	1.3661949431281029	0.24246672245760337	2.0441413378547257	0.999934250474592
SALL3_mutation_status	3.0083676810902404	0.08283566970576549	3.593604052166394	0.9895863995147577
SALL4_mutation_status	0.021360834791784945	0.8838002420023358	0.17820776875338323	0.999934250474592
SAMD9L_mutation_status	0.36274451656467743	0.5469859381661049	0.8704243499843219	0.999934250474592
SAMD9_mutation_status	0.43502750748374663	0.50953228210875	0.9727545416997735	0.999934250474592
SBF1_mutation_status	0.028087010262483916	0.8669044253433771	0.20605514721148235	0.999934250474592
SCAF4_mutation_status	0.01273661765410795	0.910144225329496	0.1358329158609916	0.999934250474592
SCN10A_mutation_status	0.041106349048855906	0.8393327794564147	0.2526851697004627	0.999934250474592
SCN11A_mutation_status	5.097240473206494	0.02396393840214732	5.382991159514528	0.40108675974970937
SCN1A_mutation_status	0.2521830290685418	0.61554211698221	0.7000705218777452	0.999934250474592
SCN2A_mutation_status	0.03814286887813249	0.845156536107757	0.24270951923085848	0.999934250474592
SCN3A_mutation_status	0.04335941220739043	0.8350499865662887	0.2600655341715477	0.999934250474592
SCN4A_mutation_status	1.41061881973783	0.23495369281664644	2.0895516518285002	0.999934250474592
SCN5A_mutation_status	2.013920271906762	0.15586211377193093	2.681657807748732	0.999934250474592
SCN9A_mutation_status	0.006538863232458863	0.9355507161485879	0.09611223088917029	0.999934250474592
SDK1_mutation_status	3.949044370700979	0.04689799340348612	4.414329993447081	0.6624341568242414
SDK2_mutation_status	0.30457256631719953	0.5810299312871994	0.7833156100745028	0.999934250474592
SEC16A_mutation_status	0.35460956920216063	0.5515152919344639	0.8585272067277099	0.999934250474592
SEMA5A_mutation_status	0.15687759742678054	0.6920476593968291	0.5310566992105972	0.999934250474592
SEMA5B_mutation_status	0.002027003722674254	0.9640895675580324	0.05276091039357669	0.999934250474592
SEMA6D_mutation_status	0.29563125852031996	0.5866342812650398	0.7694667142698822	0.999934250474592
SETBP1_mutation_status	0.10084730799986548	0.7508151909807357	0.41347025487991873	0.999934250474592
